a,"
'''﻿a''' <small>[conjunction for nouns]</small> — ''and/or''
:'''ei mi tavla la Alis a la Kevin''' — ''I need to speak to Alice or Kevin (or to both of them).''
:Related words: '''ja''', '''a''', '''e''', '''ji''', '''o''', '''u'''"
akti,"
'''akti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is running service  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo akti''' — active, in action, working, in operation. '''lo se akti''' — active operation. 
:'''gau ko ta to'e akti''' — ''Turn that off.''
:'''gau ko ta akti''' — ''Turn it on.''
:'''mi jai gau ba akti fai le minji''' — ''I will get the machine running.''
:'''le zarci ca akti''' — ''The shop is open.''
:'''le minji ca akti lo ka cupra lo purmo''' — ''The machine is now in operation producing flour.''
:Related words: '''zukcfu''', '''spofu'''"
anka,"
'''anka''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a thigh, hip of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''le verba pu jai gau spofu lo anka be lo no'a''' — ''The child broke his thigh.''
:Related words: '''tornozelo'''"
ankabuta,"
'''ankabuta''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a spider of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo ankabuta''' — spider. 
:'''xu do terpa tu'a lo ankabuta''' — ''Are you afraid of spiders?''
:Related words: '''insekto''', '''cinki''', '''danlu'''"
arte,"
'''arte''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a piece of artwork
:'''lo arte''' — piece of artwork. 
:'''lo vi arte pu jai rinka so'i nu darlu''' — ''There've been a lot of debates caused by this artwork.''
:Related words: '''larcu''', '''finti''', '''pixra'''"
arxokuna,"
'''arxokuna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a raccoon of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo arxokuna''' — raccoon. 
:'''pa arxokuna cu zvati lo mi jukpa kumfa''' — ''There's a raccoon in my kitchen.''
:Related words: '''danlu''', '''mabru'''"
asna,"
'''asna''' — ''x<sub>1</sub><sub>(property of x2)</sub>''  is a posture, stance, asana of body  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo asna''' — posture (of body), body position, stance (of body), asana. 
:'''ra co'a se asna lo ckape ne'a le barda fenra''' — ''He took a dangerous pose near the abyss.''
:Related words: '''morna'''"
au,"
'''au''' <small>[interjection]</small> — ''Wish ...'' (desire), '''au''' '''cu'i''' — ''meh'' (indifference), '''au''' '''nai''' — ''Nuh-uh!'' (disinclination, reluctance)
:'''au e'o tcati''' — ''I'd like some tea, please.''
:'''au cu'i do jai gau bredi fai lo cidja''' — ''You prepare the food or not ... I don't have any preferences.''
:'''au nai do cliva''' — ''I don't want you to leave.''
:Related words: '''djica'''"
ba,"
'''ba''' <small>[preposition of tense]</small> — ''after ...'' (in time), adverb: ''in future'' (expresses future tense)
:'''mi ba bevri''' — ''I will bring it.''"
ba'a,"
'''ba'a''' <small>[interjection]</small> — ''I expect'', '''ba'a''' '''cu'i''' — ''I experience'', '''ba'a''' '''nai''' — ''I remember''
:'''ba'a lo mi mamta ca zvati le zdani''' — ''I expect my mother to be at home now.''
:'''ba'a le mi pendo pu jinga''' — ''I expect my friend to have won.''
:'''ba'a cu'i lo se klani be lo sovda cu lacri lo tcika lo nu lo jipci cu jai gau cfari''' — ''In my experience, the number of eggs depends on when a hen starts.''
:'''ba'a nai do na nelci lo laldo prenu''' — ''As I remember, you don't like old people.''
:Comment: '''ba'a''' might refer to past events, which you simply don't have information about yet. '''ba'a''' marks not yet known, '''ba'a''' '''cu'i''' marks knowledge being acquired at the moment of speaking, '''ba'a''' '''nai''' marks already acquired knowledge.
:Related words: '''lifri''', '''vedli''', '''kanpe'''"
ba'e,"
'''ba'e''' <small>[left interjection]</small> — puts an emphasis on the following construct
:'''mi djuno lo du'u ma kau darxi ba'e la Alis''' — ''I know who hit ALICE (not someone else).''
:'''vajni ba'e mi''' — ''It's important for ME.''
:Related words: '''ba'e''', '''za'e'''"
ba'o,"
'''ba'o''' <small>[preposition of aspect]</small> — ''in the aftermath'' (retrospective aspect)
:'''mi ba'o citka lo plise''' — ''I have eaten an apple.''
:'''mi'o ba'o tavla''' — ''We are done talking.''
:'''mi ba'o xagji''' — ''I'm no longer hungry.''"
ba'u,"
'''ba'u''' <small>[interjection]</small> — exaggeration, '''ba'u''' '''cu'i''' — ''to be precise, literally'', '''ba'u''' '''nai''' — ''to put it mildly'' (understatement)
:'''do no ba'u roi jimpe fi mi''' — ''You never understand me.''
:'''le pa tadni pu no ba'u cu'i roi jimpe lo ve ciksi be fo mi''' — ''The student literally never understood my explanations.''
:'''le terdi cu barda ba'u nai''' — ''The Earth is big, to put it mildly.''
:Related words: '''satci''', '''zildukse'''"
bacru,"
'''bacru''' — ''x<sub>1</sub><sub>(entity)</sub>''  utters  ''x<sub>2</sub><sub>(sound, text)</sub>'' 
:'''lo se bacru''' — uttered text or sound. 
:'''ko na cladu bacru''' — ''Don't talk loud.''
:'''le nakni pu bacru lu pa no li'u''' — ''He said &quot;Ten&quot;.''
:Related words: '''krixa''', '''cusku''', '''casnu''', '''tavla''', '''voksa''', '''pinka'''"
badna,"
'''badna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a banana fruit or plant of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo badna''' — banana. 
:'''ma jdima lo badna poi kilto lo grake''' — ''How much is the kilo of bananas?''
:Related words: '''grute'''"
badri,"
'''badri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is sad about  ''x<sub>2</sub><sub>(clause, property of x1)</sub>'' 
:'''lo badri''' — sad. '''lo se badri''' — sad event. 
:'''mi pu badri lo nu mi pu permite le fetsi lo ka zukte ma kau''' — ''I was sad of what I had allowed her to do.''
:Related words: '''klaku''', '''gleki''', '''betri''', '''cinmo''', '''junri'''"
bai,"
'''bai''' <small>[preposition from '''bapli''']</small> — ''compelled by force ...''
:'''mi pu stali bu'u lo zdani bai lo ka bilma''' — ''I stayed at home forced by my illness.''"
bajra,"
'''bajra''' — ''x<sub>1</sub><sub>(entity)</sub>''  runs on surface  ''x<sub>2</sub><sub>(entity)</sub>''  using limbs  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo bajra''' — runner. 
:'''mi bajra vi'i lo mitre be li ci ki'o''' — ''I ran three thousands meters.''
:'''xu do su'o roi senva lo ka bajra lo jdika grana lo xance be do''' — ''Have you ever dreamt of running on your hands on a narrow rod?''
:Related words: '''cadzu''', '''klama''', '''litru''', '''stapa''', '''plipe''', '''cpare'''"
bakfu,"
'''bakfu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a pack or bundle containing  ''x<sub>2</sub><sub>(entity group)</sub>''  held together by  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo bakfu''' — pack, bundle. '''lo se bakfu''' — content of a pack. 
:'''ti bakfu lo se dunda lo dasri''' — ''This is a gift packed with a ribbon into a bundle.''
:Related words: '''daski''', '''dakli''', '''tanxe'''"
bakni,"
'''bakni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a cow or bovine of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo bakni''' — cow. 
:'''mu bakni cu zvati lo purdi''' — ''There are five cows in the garden.''
:Related words: '''danlu'''"
bakri,"
'''bakri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some chalk
:'''lo bakri''' — chalk. 
:'''mi xebni lo bakri i ki'u bo ri punji lo purmo lo xance''' — ''I hate chalk. It leaves powder on hands.''
:Related words: '''pinsi''', '''blabi''', '''jilka'''"
baktu,"
'''baktu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a pail, bucket containing  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo baktu''' — bucket, pail. '''lo se baktu''' — contents of a bucket. 
:'''ko bevri lo baktu be lo festi fo lo dinju''' — ''Take the pail of bucket out of the house.''
:Related words: '''botpi''', '''patxu''', '''tansi''', '''lante''', '''lanka'''"
balji,"
'''balji''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bulb of plant  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo balji''' — bulb (of a plant). 
:'''ra pu sombo lo balji be lo flora lo purdi''' — ''She planted the flower bulb in the garden.''
:Related words: '''spati'''"
balnema,"
'''balnema''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a baleen whale of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo balnema''' — baleen whale. 
:'''loi litru ca'o zgana lo melbi nu muvdu fa lo balnema''' — ''The tourists are watching the graceful movement of a baleen whale.''"
balni,"
'''balni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a balcony or shelf of structure  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo balni''' — balcony. '''lo se balni''' — building with a balcony. 
:'''mi cpana lo balni be lo mi zdani''' — ''I am on the balcony of my home.''
:'''i lo jvinu be fi lo balni cu melbi''' — ''The view from the balcony is beautiful.''
:Related words: '''kajna'''"
balre,"
'''balre''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a blade of tool or weapon  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo balre''' — blade. '''lo se balre''' — tool with a blade, weapon with a blade. 
:'''lo balre be lo dakfu cu kinli''' — ''The blade of the knife is sharp.''
:Related words: '''dakfu''', '''tunta''', '''tutci''', '''guska''', '''kinli''', '''katna'''"
balvi,"
'''balvi''' — ''x<sub>1</sub><sub>(clause)</sub>''  is in the future of  ''x<sub>2</sub><sub>(clause)</sub>'' ; x<sub>1</sub> is later than x<sub>2</sub>
:'''lo balvi''' — later event, future event. '''lo se balvi''' — earlier event, past event. 
:'''lo nu la Kevin cu cliva pu balvi lo nu mi tsuku le xotli''' — ''Kevin left, and that happened after my arrival to the hotel.''
:Comment: x<sub>1</sub> is later than x<sub>2</sub>
:Related words: '''lidne''', '''cabna''', '''purci''', '''farna'''"
bambola,"
'''bambola''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a doll
:'''lo bambola''' — doll. 
:'''le nixli cu nelci lo va bambola''' — ''The girl likes that doll.''
:Related words: '''kelci'''"
bambu,"
'''bambu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bamboo of variety  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo bambu''' — bamboo. 
:'''lo bambu cu torni lo brife''' — ''Bamboo bends before the wind.''
:Related words: '''spati''', '''tricu'''"
bancu,"
'''bancu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is beyond boundary  ''x<sub>2</sub><sub>(same type as x1)</sub>''  from  ''x<sub>3</sub><sub>(same type as x1)</sub>''  in  ''x<sub>4</sub><sub>(property of x1)</sub>'' 
:'''da lalxu gi'e bancu lo tcadu''' — ''There is a lake beyond the city.''
:'''lo tai fasnu cu bancu lo se kakne be mi''' — ''Such things are beyond my powers.''
:'''lo zdani cu bancu lo vu tricu ti lo ka darno ti''' — ''The house is beyond those trees from here in how far it is from here.''
:Related words: '''zildukse''', '''ragve''', '''zmadu''', '''kuspe'''"
bandu,"
'''bandu''' — ''x<sub>1</sub><sub>(entity)</sub>''  defends  ''x<sub>2</sub><sub>(entity)</sub>''  from threat  ''x<sub>3</sub><sub>(property of x2)</sub>'' 
:'''lo brife je lo carvi cu bandu le dinju lo ka jelca''' — ''Wind and rain protect the house from burning.''
:Related words: '''ckape''', '''fanta''', '''fapro''', '''marbi''', '''rivbi''', '''zunti''', '''snura''', '''binra''', '''lunbe''', '''pulji'''"
banfi,"
'''banfi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an amphibian of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo banfi''' — amphibian. 
:'''lo remna cu simlu lo ka banfi''' — ''Humans look like amphibians.''
:Related words: '''danlu''', '''respa'''"
bangu,"
'''bangu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a language used by  ''x<sub>2</sub><sub>(entity)</sub>''  to express  ''x<sub>3</sub><sub>(proposition)</sub>'' 
:'''lo bangu''' — language. '''lo se bangu''' — user of a language. 
:'''xu do se bangu la Lojban''' — ''Do you speak Lojban?''
:'''le nanmu pu pilno lo bangu be fi lo mabla''' — ''The man used dirty language.''
:Related words: '''tance''', '''cusku''', '''ve''' '''tavla''', '''valsi''', '''gerna''', '''jufra''', '''natmi''', '''slaka'''"
banli,"
'''banli''' — ''x<sub>1</sub><sub>(entity)</sub>''  is great, magnificent in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo banli''' — great (superior). 
:'''lo xamsi cu banli lo ka se jvinu ma kau le xotli kumfa''' — ''The sea looks magnificent from the hotel room.''
:Related words: '''barda''', '''nobli''', '''se''' '''sinma''', '''pluja''', '''misno''', '''vajni''', '''fasnu''', '''cizra''', '''traji''', '''mutce''', '''marvele'''"
banro,"
'''banro''' — ''x<sub>1</sub><sub>(entity)</sub>''  grows to size or into form  ''x<sub>2</sub><sub>(entity)</sub>''  from  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''i le spati ca'o banro lo tricu lo se katna jimca''' — ''The plant is growing into a tree from a cut off branch.''
:Related words: '''farvi''', '''zenba''', '''jmina''', '''barda''', '''makcu''', '''ferti'''"
banxa,"
'''banxa''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bank owned by  ''x<sub>2</sub><sub>(entity)</sub>''  for banking functions  ''x<sub>3</sub><sub>(clause)</sub>'' 
:'''lo banxa''' — bank. '''lo se banxa''' — bank owner, bank system. '''lo te banxa''' — function of bank. 
:'''ti banxa lo gugde lo ka canja fo lo kagni i je to'u ti banxa fi lo kagni''' — ''This bank owned by stated works with companies, in short, this is a commercial bank.''
:Comment: x<sub>2</sub> can be a banking system.
:Related words: '''sorcu''', '''zarci''', '''canja''', '''kagni'''"
banzu,"
'''banzu''' — ''x<sub>1</sub><sub>(clause)</sub>''  is enough for purpose  ''x<sub>2</sub><sub>(clause)</sub>''  to take place
:'''lo nu mi se bangu la Lojban na banzu lo nu jimpe do''' — ''My level of speaking Lojban isn't enough to understand you.''
:'''lo nu do ca klama cu da'i banzu lo nu do tsuku ca le se tcika''' — ''Leaving now would be enough for you to arrive on time.''
:'''banzu lo se djica be mi''' — ''It's enough for me.''
:Related words: '''zildukse''', '''claxu''', '''nitcu''', '''ricfu''', '''permite'''"
bapli,"
'''bapli''' — ''x<sub>1</sub><sub>(clause)</sub>''  forces, convinces  ''x<sub>2</sub><sub>(clause)</sub>''  to occur
:'''lo bapli''' — force. 
:'''lo tcima pu bapli lo nu le nakni cu stali lo zdani''' — ''The violent weather forced him to stay at home.''
:'''lo snuti pu bapli lo nu le prenu cu zenba co jundi''' — ''The accident convinced him to be more careful.''
:Related words: '''fanta''', '''rinju''', '''jimte''', '''jitro''', '''rinka''', '''krinu''', '''zukte''', '''tolpro''', '''danre''', '''bai''', '''marxa''', '''tinsa''', '''xarnu'''"
barda,"
'''barda''' — ''x<sub>1</sub><sub>(entity)</sub>''  is big, large in length/width etc.  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo barda''' — large, big. 
:'''lo tanxe pu barda lo ka se canlu''' — ''The box occupied large space.''
:'''lo nu penmi pu barda lo ka se ditcu''' — ''The meeting lasted for a large amount of time.''
:Related words: '''banli''', '''clani''', '''ganra''', '''condi''', '''plana''', '''cmalu''', '''rotsu''', '''banro''', '''xanto'''"
bargu,"
'''bargu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an arch over or around  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo bargu''' — arch. 
:'''loi tricu cu bargu lo dargu''' — ''The trees form an arch over the road.''
:Related words: '''cripu''', '''korcu''', '''condi'''"
barja,"
'''barja''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bar serving  ''x<sub>2</sub><sub>(entity)</sub>''  to customers  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo barja''' — bar. 
:'''ti barja lo ckafi lo litru''' — ''This is a bar serving coffee to tourists.''
:Related words: '''gusta''', '''birje''', '''jikru''', '''sanmi''', '''vanju''', '''xotli''', '''ckafi''', '''se''' '''pinxe'''"
barna,"
'''barna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a mark, spot on  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo barna''' — mark, spot. 
:'''lo barna be lo kamju cu dargu sinxa''' — ''The mark on the pillar is a road sign.''
:Related words: '''sinxa''', '''pixra''', '''se''' '''ciska''', '''se''' '''prina'''"
bartu,"
'''bartu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is outside of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo bartu''' — something outside. '''lo se bartu''' — something inside. 
:'''ei mi klama lo bartu be lo zdani''' — ''I should go out.''
:Related words: '''jibni''', '''nenri''', '''sruri''', '''lamji''', '''korbi''', '''calku''', '''vasru'''"
basna,"
'''basna''' — ''x<sub>1</sub><sub>(entity)</sub>''  emphasizes  ''x<sub>2</sub><sub>(entity)</sub>''  by action  ''x<sub>3</sub><sub>(property of x1)</sub>'' 
:'''lo se basna''' — emphasis (something emphasized). 
:'''mi pu basna lo nu lo nu ca'o gunka cu vajni vau lo ka cladu cusku''' — ''I emphasized the importance of continuing to work by saying it aloud.''"
basti,"
'''basti''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a replacement for  ''x<sub>2</sub><sub>(entity)</sub>'' ; x<sub>1</sub> is instead of x<sub>2</sub>
:'''lo basti''' — replacement (object). '''lo se basti''' — something replaced. 
:'''ma ba basti do''' — ''Who will replace you?''
:Related words: '''se''' '''ba'i''', '''binra'''"
batci,"
'''batci''' — ''x<sub>1</sub><sub>(entity)</sub>''  bites or pinches  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo se batci''' — bitten. 
:'''lo gerku pu batci mi re'o lo tuple''' — ''The dog bit me in the leg.''
:Related words: '''denci''', '''jgalu''', '''guska''', '''citka'''"
batke,"
'''batke''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a button or knob on  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo batke''' — button. 
:'''ra pu ru'e jgari lo batke be lo kosta pe vo'a''' — ''He was holding a button of his coat.''
:Related words: '''jadni''', '''balji''', '''punji''', '''jgari''', '''lasna'''"
bau,"
'''bau''' <small>[preposition from '''bangu''']</small> — ''in language ...''
:'''mi tavla bau la Lojban''' — ''I talk in Lojban language.''
:Comment: in the clause where '''bau''' is used x<sub>1</sub> is user of the language, the clause itself describes what is expressed in this language."
bavlamdei,"
'''bavlamdei''' — ''x<sub>1</sub><sub>(clause)</sub>''  is tomorrow, the day that follows the day  ''x<sub>2</sub><sub>(clause)</sub>'' 
:'''lo bavlamdei''' — tomorrow, the day that follows. 
:'''ko klama ca lo bavlamdei''' — ''Come tomorrow!''
:'''ca lo bavlamdei be lo nu mi tsuku vau mi co'a ganse lo cizra''' — ''On the day following my arrival I started feeling something strange.''
:Related words: '''djedi''', '''cabdei''', '''prulamdei''', '''cedra''', '''ditcu'''"
bavmi,"
'''bavmi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some barley of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo bavmi''' — barley. 
:'''lo bavmi cu ralju se cupra bu'u''' — ''Barley is the main product here.''
:Related words: '''gurni'''"
be,"
'''be''' — attaches nouns and prepositions to verb (by default starting from x<sub>2</sub>)
:'''lo tixnu be mi cu melbi''' — ''My daughter is pretty.''
:Related words: '''bei'''"
be'e,"
'''be'e''' <small>[vocative]</small> — request to send/speak
:'''be'e lo nobli do mulno xu''' — ''Pardon, Sir/Madam, are you finished?''
:'''be'e pendo''' — ''Hello, are you still there, friend?''"
be'i,"
'''be'i''' <small>[preposition from '''benji''']</small> — ''sent by ...''
:'''ti me lo se dunda ne be'i la Kevin''' — ''This a present sent by Kevin.''"
be'o,"
'''be'o''' <small>[terminator]</small>
:ends a construct started with: '''be, bei'''"
be'u,"
'''be'u''' <small>[interjection modifier]</small> — lack/need, '''be'u''' '''cu'i''' — presence/satisfaction, '''be'u''' '''nai''' — satiation
:'''u'i be'u ko skicu lo drata lisri''' — ''Hehe, not that funny, tell me another story.''
:'''ui be'u cu'i do bevri re verba mlatu noi mi pu djica''' — ''Yay, you brought the two kittens whom I wanted.''
:'''u'i be'u nai ba'a mi ca farlu lo loldi''' — ''Ha-ha-ha, so funny, I can't laugh anymore, I might fall down to the floor now.''
:Related words: '''claxu''', '''nitcu''', '''mansa'''"
bebna,"
'''bebna''' — ''x<sub>1</sub><sub>(entity)</sub>''  is foolish, stupid in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo bebna''' — fool, stupid. '''lo se bebna''' — foolish action. 
:'''ko na bebna lo ka fe da ca'o cusku''' — ''Don't be silly in repeating the same.''
:Related words: '''fenki''', '''xajmi''', '''prije''', '''fliba'''"
bei,"
'''bei''' <small>[middle separator]</small> — separates nouns attached to verb with '''be'''
:ends a construct started with: '''be'''"
bekpi,"
'''bekpi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is the back, dorsum, 'posterior' body-part of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo bekpi''' — back (of body). 
:'''lo bekpi be mi za'o se cortu''' — ''My back still hurts.''
:Comment: not necessarily at the back of body (determined by bilateral symmetry of the body).
:Related words: '''trixe''', '''cutne'''"
bemro,"
'''bemro''' — ''x<sub>1</sub><sub>(entity)</sub>''  is North American in  ''x<sub>2</sub><sub>(property of x1)</sub>'' 
:'''lo bemro''' — North American. 
:'''mi nelci lo bemro tumla''' — ''I like North American lands.''
:Related words: '''merko''', '''ketco'''"
bende,"
'''bende''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a team or crew of persons  ''x<sub>2</sub><sub>(entity group)</sub>''  led by  ''x<sub>3</sub><sub>(entity)</sub>''  for purpose  ''x<sub>4</sub><sub>(clause)</sub>'' 
:'''lo bende''' — team. '''lo se bende''' — member of a team. '''lo te bende''' — leader of a team. '''lo ve bende''' — purpose of a team. 
:'''mi cmima lo bende be lo stati prenu bei la Robin bei lo ka tadni la Lojban''' — ''I am a member of a team of smart people led by Robin and learning Lojban.''
:Related words: '''gunma''', '''girzu''', '''dansu''', '''jatna''', '''jitro''', '''kagni''', '''kamni''', '''minde''', '''ralju''', '''cecmu''', '''gidva'''"
benji,"
'''benji''' — ''x<sub>1</sub><sub>(entity)</sub>''  transmits  ''x<sub>2</sub><sub>(entity)</sub>''  to receiver  ''x<sub>3</sub><sub>(entity)</sub>''  from origin  ''x<sub>4</sub><sub>(entity)</sub>''  via  ''x<sub>5</sub><sub>(entity)</sub>''
:'''lo benji''' — transmitter. '''lo te benji''' — transmission receiver. '''lo ve benji''' — origin of a transmission. '''lo xe benji''' — medium of transmission. 
:'''mi ba benji lo xatra do fu la Internet fo lo mi zdani skami''' — ''I will send you a letter via the internet from my home computer.''
:'''lo gunka pu benji lo sinxa lo drata gunka lo galtu lo sance''' — ''A worker sent a sound signal to another worker from the above.''
:Comment: ''transmitter'' in English can denote both '''lo''' '''benji''' and '''lo''' '''xe''' '''benji'''.
:Related words: '''muvdu''', '''dunda''', '''mrilu''', '''nirna''', '''volve''', '''cradi''', '''tivni''', '''preja''', '''be'i''', '''bevri''', '''mrilu''', '''tcana'''"
bersa,"
'''bersa''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a son of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo bersa''' — son. '''lo se bersa''' — parent of a son. 
:'''mi se bersa re da''' — ''I have two sons.''
:Related words: '''verba''', '''nanla''', '''nakni''', '''nanmu''', '''patfu''', '''mamta''', '''bruna''', '''rirni''', '''rorci''', '''panzi''', '''tixnu'''"
